Date,Close,High,Low,Open,Volume,Forward_Return,Regime
2000-01-03,91.61705017089844,93.3887593491066,90.6327672941161,93.3887593491066,8164300,0.005586825255258221,Sideways
2000-01-04,88.03427124023438,90.75089231160118,87.96537143045333,90.41623609266469,8089800,0.03398976048520708,Bull
2000-01-05,88.19172668457031,89.15632369518279,86.4593891961234,88.1523553780147,12177900,0.021875231952756202,Sideways
2000-01-06,86.77437591552734,89.13665475170322,86.77437591552734,87.95551533361528,6227200,0.05263163910466706,Bull
2000-01-07,91.81393432617188,91.81393432617188,88.23114357845247,88.38862888604453,8066500,0.008362059710313119,Sideways
2000-01-10,92.12889862060547,92.54229752467229,91.3611577987671,92.12889862060547,5741700,-0.002991258595179236,Sideways
2000-01-11,91.02653503417969,92.03050417058608,90.39659361525804,91.85333314651437,7503700,0.017300182800646713,Sideways
2000-01-12,90.12094116210938,91.08553839167324,90.00282721563217,91.08553839167324,6907700,0.011795469345087906,Sideways
2000-01-13,91.3414535522461,91.81390934648184,90.25874235712249,91.00679736466243,5158300,-0.003879619859397221,Sideways
2000-01-14,92.5816879272461,92.89665858572704,91.95174661028418,92.30608860107525,7437300,-0.04507820316448463,Bear
2000-01-18,91.85331726074219,92.36514457509693,91.45960394200775,91.55803227169136,6488500,-0.02657566433138936,Bear
2000-01-19,92.60131072998047,92.60131072998047,91.34142895134127,91.53828547925364,6157900,-0.04209158126355983,Bear
2000-01-20,91.1839599609375,92.58164155792078,90.59339027207132,92.58164155792078,5800100,-0.03108772134156379,Bear
2000-01-21,90.9870834350586,91.65639560225722,90.75085561134144,91.65639560225722,6244800,-0.059281264351691565,Bear
2000-01-24,88.40827178955078,91.87294688083578,87.81770217171811,91.75483295726924,7896900,-0.005566175396313877,Sideways
2000-01-25,89.4122543334961,89.4122543334961,87.56180257053956,88.51655693759692,9942500,-0.007045130045856274,Sideways
2000-01-26,88.70357513427734,89.16618809824884,88.25080499932653,88.82168908252538,5158100,0.0017755904479013207,Sideways
2000-01-27,88.34925842285156,89.58945523226325,87.0106332952326,89.35322726856579,10922700,0.02094435339755729,Sideways
2000-01-28,85.59325408935547,88.23113266524638,85.37671181820025,87.83741944496415,11916200,0.04944781024913447,Bull
2000-01-31,87.91617584228516,87.98507566661296,85.0420688846108,85.55389615104596,10768700,0.020151954089041357,Sideways
2000-02-01,88.78233337402344,89.25478925007145,87.26653743836937,88.0342782369474,8419900,0.02394680085156864,Sideways
2000-02-02,88.86107635498047,89.60913149487618,88.427991800304,88.99887598601389,6205900,0.0015504156836334548,Sideways
2000-02-03,90.19967651367188,90.23904782598687,88.19173958560673,88.74293795801677,7997500,-0.011348638190483817,Sideways
2000-02-04,89.82565307617188,90.71150764299803,89.53036822056316,90.19968055994292,4925400,-0.027394359665516843,Bear
2000-02-07,89.68785858154297,89.94377213763605,89.09728883671279,89.805972530509,5845800,-0.02019332627681847,Sideways
2000-02-08,90.90838623046875,91.0658715249347,90.4753016706874,90.69184395057808,4936400,-0.02241232125029291,Bear
2000-02-09,88.99884796142578,91.00678480992511,88.98900513373705,91.00678480992511,8511500,-0.016146836713498924,Sideways
2000-02-10,89.17603302001953,89.80597409212564,88.7429485329466,89.21540433702617,6690600,-0.023179059793997148,Bear
2000-02-11,87.36493682861328,89.41224494717476,86.95153807390376,89.35318798221624,9849800,-0.024335310407378463,Bear
2000-02-14,87.87676239013672,88.05393328205233,87.12870751315975,88.05393328205233,8528800,-0.03248211979267912,Bear
2000-02-15,88.87091827392578,88.95950375010979,86.80392382963247,87.71930708353379,11078300,-0.032008099934678236,Bear
2000-02-16,87.56179809570312,88.78230877059828,87.4338413313996,88.42796696175775,8845400,-0.03732000801610191,Bear
2000-02-17,87.10901641845703,88.46732650498213,87.06964511160123,88.46732650498213,7584200,-0.03581905860213652,Bear
2000-02-18,85.23888397216797,87.48304858483013,84.80579957323316,87.48304858483013,9409200,0.00600451235724786,Sideways
2000-02-22,85.0223388671875,85.88850763545706,84.11679879126932,85.16013844395766,16415400,0.0182915579688816,Sideways
2000-02-23,86.02632904052734,86.59721314628828,84.72707555845072,85.43575927594706,12119000,0.0137300373912157,Sideways
2000-02-24,84.29399108886719,86.32161394784741,83.84122093589102,86.10507170077184,17375000,0.03526407280137844,Bull
2000-02-25,83.98885345458984,86.12474718477219,83.8608966873439,85.16015001630275,10559900,0.05847925805555243,Bull
2000-02-28,85.75070190429688,86.10504364770306,83.60496579144831,84.01836449208886,13397800,0.02663032820986233,Bull
2000-02-29,86.57752990722656,86.57752990722656,85.51450430127153,85.7113608949669,8242500,-0.0028423786272161466,Sideways
2000-03-01,87.20747375488281,87.56181563469949,86.43973301528,86.69564659514761,6868000,-0.011286511879051608,Sideways
2000-03-02,87.26654052734375,87.64056810912122,86.51848536378881,87.36496883833783,7600200,0.016918308824815043,Sideways
2000-03-03,88.90045928955078,89.27448690835092,88.01460440291885,88.4673746783085,12770300,-0.007086289207826613,Sideways
2000-03-06,88.03427124023438,89.03823989704384,87.40433012223627,88.70358367810735,11967100,-0.008273977218483552,Sideways
2000-03-07,86.3314437866211,88.29016654497676,85.17983291864313,88.19173826566241,20062000,-0.0030779536455532996,Sideways
2000-03-08,86.22320556640625,86.83346113091736,85.06175142749804,85.96729194257902,11808500,0.0214608782874548,Sideways
2000-03-09,88.7429428100586,88.7429428100586,85.75072291051802,86.45940657093553,5500900,0.03882041470238917,Bull
2000-03-10,88.2704849243164,89.45162433008335,87.89645744582353,88.30985623784197,7924600,0.05128226625394805,Bull
2000-03-13,87.30587768554688,88.48701695524989,85.47511181750723,86.10505276134883,10540500,0.0574725631187214,Bull
2000-03-14,86.06571960449219,88.25082822208108,85.77043465616936,87.73900097832151,8263900,0.09472319619715108,Bull
2000-03-15,88.0736312866211,88.46734443497434,85.71135239650162,86.22317948936085,10300800,0.07626429239741861,Bull
2000-03-16,92.18798065185547,92.50295133099911,88.74298884872186,89.21544486743733,25601400,0.04578523201886786,Bull
2000-03-17,92.79719543457031,93.46820875757655,91.84988250797325,92.0867107396225,10272900,0.04508796020492789,Bull
2000-03-20,92.32357025146484,93.0537908797898,91.43546408188041,92.75775548992833,12502300,0.03933291656457483,Bull
2000-03-21,94.2181396484375,94.57338190098712,91.25778754385735,91.90906500686498,13612600,0.012568667526090316,Sideways
2000-03-22,94.7905044555664,95.26416094253987,93.90239854249114,94.45499777729353,8260000,0.007495504202583714,Sideways
2000-03-23,96.40882873535156,96.92195658532478,94.19843184315926,94.19843184315926,11654500,-0.02599778831128685,Bear
2000-03-24,96.98123168945312,98.36273071636842,95.81682536676739,96.54704628099404,11462900,-0.02075785720107204,Sideways
2000-03-27,95.95492553710938,97.11933125629683,95.8759827764865,96.86276728427248,8798600,-0.0045252430547052525,Sideways
2000-03-28,95.40233612060547,96.61608119123377,95.10630073752539,95.52075027383749,6334400,-0.006206208527678836,Sideways
2000-03-29,95.50100708007812,96.30030255161007,94.5142225473226,95.71809967728433,6747500,-0.013433025167629231,Sideways
2000-03-30,93.90241241455078,95.94505631638054,92.91562792091321,94.82998983857009,9491900,0.012085089206780308,Sideways
2000-03-31,94.96810913085938,96.19172150951965,93.7444967521991,94.49445272621668,9249100,0.007065826026739108,Sideways
2000-04-03,95.52070617675781,95.52070617675781,93.90238016301936,94.81022158536044,8508200,-0.0026862426707795484,Sideways
2000-04-04,94.81024932861328,96.62593270459838,89.29412428961507,95.83650514982226,19585500,0.0018733449805821145,Sideways
2000-04-05,94.2181396484375,95.24439504469194,93.23135561357745,93.38924105915505,8387200,-0.019480118807776226,Sideways
2000-04-06,95.0372314453125,95.797055640234,94.09978601001973,94.88921374500312,6378500,-0.04142904392167446,Bear
2000-04-07,95.6391372680664,96.07332237328669,95.04706667003876,95.71808001447009,6023600,-0.10193957008723864,Bear
2000-04-10,95.26411437988281,96.6949509849256,94.92860786559692,95.83644902189992,9624200,-0.06691433231105248,Bear
2000-04-11,94.98786163330078,95.75755342712974,93.7050419769192,94.73129770202446,9006400,-0.039476640186071776,Bear
2000-04-12,92.38275909423828,95.46152654108751,92.30381633919087,94.96813432204115,10779200,-0.02157638668032391,Sideways
2000-04-13,91.09992980957031,93.5668906471345,90.80389450906262,93.1327055397232,12225800,-0.0030326657259026613,Sideways
2000-04-14,85.88972473144531,90.19210524418776,84.31086949741139,90.0736911016352,29604000,0.04595576837904747,Bull
2000-04-17,88.88957977294922,88.88957977294922,85.06085453406108,85.37662568778381,23918200,0.05261955370963789,Bull
2000-04-18,91.2380599975586,91.23805999755861,88.27770762904599,88.77109969046477,11069200,0.013952873856852177,Sideways
2000-04-19,90.38947296142578,91.6525572997514,90.01449479848537,91.25784344402464,6553700,0.02008714222180852,Sideways
2000-04-20,90.82365417480469,90.90259694244902,89.91581234689487,90.66576863951602,8537600,0.008909030396899054,Sideways
2000-04-24,89.83685302734375,90.50786642869035,88.73165448394937,89.36319650874616,12893100,0.03383174115947751,Bull
2000-04-25,93.56690979003906,93.56690979003908,91.21836259218742,91.33677673661693,14102000,-0.027209633527456978,Sideways
2000-04-26,92.51109313964844,93.94193138020835,92.20518979166667,93.44853888346356,7711100,-0.03914680114343072,Bear
2000-04-27,92.20513916015625,93.05377378855665,90.31051301302975,90.31051301302975,15595300,-0.028681532069141924,Bear
2000-04-28,91.63280487060547,93.37941336318539,91.61306918142378,92.83668191068881,8743400,-0.01076883175922394,Sideways
2000-05-01,92.87619018554688,93.77416440004801,92.10649800168875,92.56041903319482,7328300,-0.031343245819514975,Bear
2000-05-02,91.02098846435547,92.91561441677918,91.02098846435547,91.88935869254968,9411900,-0.01951400563757688,Sideways
2000-05-03,88.88957977294922,90.94209227214698,88.27777316261142,90.94209227214698,12630700,-0.01865060615306835,Sideways
2000-05-04,89.56055450439453,89.90592905349698,88.88954109470977,89.67896863551536,5963600,-0.003746268490156801,Sideways
2000-05-05,90.64602661132812,90.94206196930111,89.00796429721095,89.08690705933708,7862400,-0.005007425203406135,Sideways
2000-05-08,89.96514892578125,90.54735182000316,89.5803029448549,90.15263799341203,5064100,0.019853014506892475,Sideways
2000-05-09,89.24480438232422,90.56709582275228,88.58365866211018,90.35000319820439,5620300,0.03803609234284777,Bull
2000-05-10,87.23173522949219,89.02768271951115,86.99490698905014,88.73164741895857,10293900,0.050905232437829406,Bull
2000-05-11,89.22503662109375,89.36318642342678,87.86327428381097,88.49481623733342,7091100,0.014820301218376741,Sideways
2000-05-12,90.19212341308594,90.60657299550931,89.44216702584366,89.56058119225032,5960800,-0.011816443407026811,Sideways
2000-05-15,91.75122833251953,91.95845308999243,89.67898075779065,90.15263734630012,4441300,-0.03592170208972767,Bear
2000-05-16,92.63932800292969,93.29060576690426,91.77095765096357,92.56038524366004,8192200,-0.05922467527483399,Bear
2000-05-17,91.67228698730469,92.32356480659017,91.2381017744477,92.00779374269418,5907200,-0.03379936366428171,Bear
2000-05-18,90.54737854003906,92.40253407246358,90.54737854003908,91.96834873508763,4325600,-0.03857914401023366,Bear
2000-05-19,89.12637329101562,90.45853232492696,88.67245243501621,90.03421500301447,6518400,-0.022143607260828868,Sideways
2000-05-22,88.45536804199219,89.34347414683147,86.52127030256443,89.20532430830092,10839400,0.017402675275240975,Sideways
2000-05-23,87.15279388427734,88.92900571615799,86.8764942659848,88.69217747190724,7979200,0.03487357539959368,Bull
2000-05-24,88.57382202148438,88.85012182279917,86.20553801021475,87.1528516147226,11081500,0.03609623733843903,Bull
2000-05-25,87.05413818359375,89.56057108980922,86.97519541489405,88.85008617151192,8278900,0.07254565149565839,Bull
2000-05-26,87.15279388427734,88.21852098340574,86.72847661332807,87.66592174682064,4814000,0.0661229762946598,Bull
2000-05-30,89.9947280883789,90.27102769215901,88.08036654790241,88.41587320963541,5362700,0.027851379844112234,Bull
2000-05-31,90.19212341308594,90.94207980032823,89.73820244186035,90.03423785787705,6056500,0.0327127437749446,Bull
2000-06-01,91.77100372314453,91.84994652204617,90.31056194346439,90.74474733742335,8961600,0.010967186646436033,Sideways
2000-06-02,93.36953735351562,94.15896485174869,93.14257694777362,94.06028641446956,8962200,-0.008454721684649225,Sideways
2000-06-05,92.91559600830078,93.60634491660377,92.75771054354581,93.13268852233887,6998100,-0.01529293148089772,Sideways
2000-06-06,92.50120544433594,93.33010466103363,92.14596292289407,92.59988392251424,4858900,0.00768034952563923,Sideways
2000-06-07,93.1425552368164,93.46819400393315,92.2051103011773,92.59982395828851,4919500,0.002436932464673136,Sideways
2000-06-08,92.77747344970703,93.31033704960963,92.24460984980445,93.15245153852737,5723100,0.008508922597034951,Sideways
2000-06-09,92.58012390136719,93.44849428117111,91.96831749741443,93.15245892441978,3085300,0.0023543301000061856,Sideways
2000-06-12,91.49464416503906,92.81693518295485,91.49464416503906,92.81693518295485,3678900,0.027219187240971054,Bull
2000-06-13,93.2116470336914,93.31032546586766,91.33675682234255,91.45517094095405,6558700,0.004688953992560085,Sideways
2000-06-14,93.36953735351562,94.0208150395579,92.95508791694327,93.62610129044137,6420500,0.0025663230303447637,Sideways
2000-06-15,93.56690979003906,93.9418879140658,92.7380107790326,93.54717409930082,5881200,-0.014770871694247956,Sideways
2000-06-16,92.79808807373047,93.88610658663927,92.3430985137868,93.88610658663927,5567900,-0.015135369870061699,Sideways
2000-06-19,93.98505401611328,94.42026159101425,92.5805204789329,92.71899561640139,5106900,-0.015049750345183521,Sideways
2000-06-20,93.64871215820312,94.24217674729186,93.05524756911439,93.80696938196012,6480000,-0.01880001538120124,Bear
2000-06-21,93.6091537475586,93.96523252343688,92.9860158897716,93.01568912109478,3115000,-0.01563815885829123,Sideways
2000-06-22,92.18484497070312,93.49046723852854,91.78920185924088,93.41133861623608,7490500,-0.009871179420222975,Sideways
2000-06-23,91.3935546875,92.50135535037879,91.07704021239178,92.30353380343615,4863300,0.006277497809524801,Sideways
2000-06-26,92.57060241699219,92.58049349535708,91.71007859924688,92.02659310692331,5201300,0.007158661197911753,Sideways
2000-06-27,91.88811492919922,92.87722273252753,91.79909522689968,92.41234206496323,4159500,-0.0036595939923076415,Sideways
2000-06-28,92.14527893066406,93.04536699235261,91.9870216890485,92.18484324106797,5347700,0.0012883283906013343,Sideways
2000-06-29,91.27487182617188,92.2639796699752,90.84955545333644,91.63095064994107,6345700,0.027091806967479704,Bull
2000-06-30,91.96727752685547,92.16509916059789,91.08697125670166,91.11664450176302,7420200,0.017637721201542833,Bull
2000-07-03,93.23328399658203,93.3321947583013,91.90787978954384,92.06613700829466,1436600,0.005941274798034302,Sideways
2000-07-05,91.55184173583984,92.83768220965781,91.39358444675456,92.65964275943686,2748200,0.03111455336689528,Bull
2000-07-06,92.26399230957031,92.71898198005061,91.29466648985141,91.74965616033171,5963200,0.027658542063135227,Bull
2000-07-07,93.74767303466797,94.18288063263435,92.5805253855763,92.85747567519127,3034800,0.02131172689426286,Bull
2000-07-10,93.58937072753906,94.26196396464249,93.39154918721452,93.60915288157152,2816100,0.02134875298220118,Bull
2000-07-11,93.7872085571289,94.40045543864566,93.15417951814385,93.35200109282668,5431600,0.01086238803170314,Sideways
2000-07-12,94.40043640136719,95.03346531269237,94.12348625266242,94.49934716876174,5883000,-0.0037720069433634373,Sideways
2000-07-13,94.81587982177734,95.19174081001304,94.44001883354163,94.94446384406851,5356000,0.005633380317060954,Sideways
2000-07-14,95.74559783935547,95.74559783935547,94.74659934950269,95.23126198319365,5341900,-0.02355300386061132,Bear
2000-07-17,95.58738708496094,96.21052505954212,95.38956550572883,95.57749600599934,4208300,-0.027524916532509436,Bear
2000-07-18,94.80596160888672,95.34997077826478,94.53890256210111,95.34997077826478,4262100,-0.016379151270355163,Bear
2000-07-19,94.04435729980469,94.89498989633215,93.84653576572853,94.61803974862553,8506800,-0.018089605050288893,Bear
2000-07-20,95.35001373291016,95.35001373291016,94.20264842243115,94.32134138558415,4538900,-0.034855165947508704,Bear
2000-07-21,93.4905014038086,94.79612414876233,93.4905014038086,94.79612414876233,5656900,-0.037876162264575575,Bear
2000-07-24,92.95635223388672,94.2323013122195,92.77831282760773,93.7674206402688,5628500,-0.026176268418147575,Bear
2000-07-25,93.25312042236328,93.58941720793396,92.91682363679261,93.53007071636267,4757100,-0.023335102966381194,Bear
2000-07-26,92.34313201904297,93.15420065931305,92.1947658043594,93.03550768756621,12062500,-0.008783420534669073,Sideways
2000-07-27,92.02657318115234,92.81785927901265,91.59136582732918,92.38265192518948,7652600,0.0015046293321723248,Sideways
2000-07-28,89.9494400024414,92.36286240848887,89.58347021136044,92.24416950327343,6229500,0.030130061842162048,Bull
2000-07-31,90.52310180664062,91.23525907609847,89.92963741542576,90.48353751389297,5265500,0.03583990080441346,Bull
2000-08-01,91.0770492553711,91.61116748514847,90.602277495569,90.91879200210373,3946600,0.03344904286446293,Bull
2000-08-02,91.53204345703125,92.04637955599014,90.91879656981102,91.07705383102915,7439800,0.019667528194705408,Bull
2000-08-03,92.1650390625,92.30351411582421,90.2857347673857,90.4439919711848,4607100,0.007727402465643074,Sideways
2000-08-04,92.65962219238281,92.87722591657501,92.04637533329574,92.62005787889333,3686600,0.007045156220435667,Sideways
2000-08-07,93.76744079589844,93.96526240095308,92.65963980759247,92.87724357315257,4159800,0.007805676775951342,Sideways
2000-08-08,94.12348937988281,94.20261799642748,93.37176752270845,93.37176752270845,3658700,0.0031525609968230395,Sideways
2000-08-09,93.3322525024414,94.45983588367056,93.29268817327548,94.41038047221315,5383800,0.008053791124104759,Sideways
2000-08-10,92.87723541259766,93.59928420760507,92.60028518985509,93.39157154054814,4193400,0.023642380379517824,Bull
2000-08-11,93.31242370605469,93.68828464529892,92.14527657892786,92.81786983862807,5089400,0.015476124482713294,Bull
2000-08-14,94.49935913085938,94.67739853470651,93.09482605606537,93.54981564367469,2966700,0.008163830450290677,Sideways
